open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1670482800000,1228.26,1235.57,1227.79,1232.07,174602.177,1670486399999,215176717.17648,88085,94429.374,116370508.04958,0
1670486400000,1232.08,1234.45,1230.71,1233.01,82384.859,1670489999999,101522738.27857,48600,38957.740,48012303.02993,0
1670490000000,1233.01,1234.15,1228.18,1229.20,117632.315,1670493599999,144806009.18355,63849,51029.589,62823212.37837,0
1670493600000,1229.21,1235.31,1229.20,1232.67,102643.594,1670497199999,126514835.82078,54425,57961.259,71441154.50054,0
1670497200000,1232.67,1247.33,1227.36,1239.80,382060.256,1670500799999,472469487.88410,172959,210844.367,260870864.70693,0
1670500800000,1239.80,1244.97,1237.02,1238.57,260356.360,1670504399999,322862543.57207,131421,123749.939,153467443.21062,0
1670504400000,1238.57,1244.61,1235.15,1244.13,242766.694,1670507999999,300977573.14689,123282,125973.312,156217039.39407,0
1670508000000,1244.14,1248.77,1239.87,1246.94,307075.721,1670511599999,381919667.23890,143631,170733.867,212385736.38408,0
1670511600000,1246.94,1254.00,1244.73,1249.08,428910.321,1670515199999,535831505.49089,189347,224102.838,280007698.54348,0
1670515200000,1249.08,1252.53,1247.97,1250.47,194547.418,1670518799999,243232490.52905,90512,93955.010,117474482.01102,0
1670518800000,1250.47,1256.80,1248.68,1253.80,214653.140,1670522399999,268662015.51883,98466,111956.547,140170422.81724,0
1670522400000,1253.81,1294.31,1251.44,1287.39,960225.184,1670525999999,1222624911.97346,412601,557149.992,709313734.19413,0
1670526000000,1287.39,1291.78,1278.88,1283.68,400506.315,1670529599999,514068491.52685,212214,197240.989,253190362.84952,0
1670529600000,1283.68,1285.82,1275.27,1278.61,238263.503,1670533199999,305055961.48065,126344,118643.417,151908574.22195,0
1670533200000,1278.61,1279.86,1275.89,1278.07,97416.004,1670536799999,124474487.80811,62012,52883.866,67576652.18761,0
1670536800000,1278.07,1286.49,1278.07,1283.99,129993.927,1670540399999,166642905.07830,82099,77020.383,98730298.51590,0
1670540400000,1283.98,1286.00,1279.20,1279.73,146790.714,1670543999999,188236457.33749,79620,71892.526,92196991.08764,0
1670544000000,1279.72,1280.29,1272.29,1276.50,171254.037,1670547599999,218637167.52151,100122,86105.168,109941579.54965,0
1670547600000,1276.51,1290.00,1275.57,1280.91,242247.682,1670551199999,310655267.05056,122454,135559.210,173852271.38303,0
1670551200000,1280.91,1283.86,1278.50,1280.55,112208.972,1670554799999,143796635.27297,66604,56002.478,71774908.71120,0
1670554800000,1280.55,1285.74,1280.54,1283.46,94371.650,1670558399999,121037135.55364,59835,53988.393,69246809.76165,0
1670558400000,1283.46,1285.52,1280.58,1283.05,87088.249,1670561999999,111736380.35920,52057,41954.162,53831118.78895,0
1670562000000,1283.04,1283.29,1279.61,1280.35,59994.854,1670565599999,76876692.33355,39961,28724.964,36809699.42990,0
1670565600000,1280.36,1280.63,1276.75,1279.07,127438.292,1670569199999,162920576.99357,64986,64464.910,82410293.79834,0
